onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_orig	duration_orig	trial_type_orig
0.0161712080007419	1.5	GO	LEFT	0.35534868799914	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0162	1.5	go
3.13554651000049	1.5	GO	LEFT	0.347143042001335	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	3.125	3.1355	1.5	go
5.39261765300034	1.5	GO	RIGHT	0.389290176999566	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	5.375	5.3926	1.5	go
7.76582221799981	1.5	GO	RIGHT	0.376566177999848	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	7.75	7.7658	1.5	go
11.1346610130004	1.5	GO	LEFT	0.359395743000277	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	11.125	11.1347	1.5	go
13.142752533	1.5	GO	RIGHT	0.351077610001084	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	13.125	13.1428	1.5	go
15.2670483680013	1.5	STOP	RIGHT	0.267043968000507	LEFT	5	IncorrectResponse	UnsuccessfulStop	0	2	350	-1	15.25	15.267	1.5	junk
19.8807364130007	1.5	STOP	LEFT	0.389626758998929	LEFT	5	CorrectResponse	UnsuccessfulStop	0.255072728999949	1	250	-1	19.875	19.8807	1.5	unsucc_stop
22.2706176870015	1.5	GO	LEFT	0.393458255999576	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	22.25	22.2706	1.5	go
24.8926853950015	1.5	GO	LEFT	0.354152812000393	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	24.875	24.8927	1.5	go
27.0168882750004	1.5	GO	RIGHT	0.375747027999751	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	27	27.0169	1.5	go
29.3901181540004	1.5	STOP	LEFT	0.38514926300013	LEFT	5	CorrectResponse	UnsuccessfulStop	0.302112638999461	2	300	-1	29.375	29.3901	1.5	unsucc_stop
31.3814889780006	1.5	GO	RIGHT	0.442587498999274	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	31.375	31.3815	1.5	go
35.2649283700011	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.202520979999463	1	200	1	35.25	35.2649	1.5	succ_stop
38.3850863770003	1.5	GO	LEFT	0.351079616999414	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	38.375	38.3851	1.5	go
41.6378090529997	1.5	GO	RIGHT	0.321602079000513	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	41.625	41.6378	1.5	go
45.0068021900006	1.5	GO	RIGHT	0.368262648000382	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	45	45.0068	1.5	go
47.5126616340003	1.5	GO	RIGHT	0.405084261999946	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	47.5	47.5127	1.5	go
51.0143901500014	1.5	GO	RIGHT	0.448027608999837	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	51	51.0144	1.5	go
53.0057761710013	1.5	GO	LEFT	0.418253895999442	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	53	53.0058	1.5	go
57.520028373001	1.5	GO	LEFT	0.430035404999217	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	57.5	57.52	1.5	go
59.893199133001	1.5	STOP	LEFT	0.338861922999058	LEFT	5	CorrectResponse	UnsuccessfulStop	0.251779390999218	1	250	-1	59.875	59.8932	1.5	unsucc_stop
61.884693457001	1.5	GO	LEFT	0.545683538000958	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	61.875	61.8847	1.5	go
63.8927184590011	1.5	STOP	RIGHT	0.353382983001211	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.253535479001584	2	250	-1	63.875	63.8927	1.5	unsucc_stop
66.3821347350004	1.5	STOP	LEFT	0.319921735999742	LEFT	5	CorrectResponse	UnsuccessfulStop	0.20358928099995	2	200	-1	66.375	66.3821	1.5	unsucc_stop
68.8882008960009	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.202225670000189	1	200	1	68.875	68.8882	1.5	succ_stop
71.8919497010011	1.5	GO	LEFT	0.362501143999907	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	71.875	71.8919	1.5	go
74.8958243850011	1.5	GO	LEFT	0.35170058300173	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	74.875	74.8958	1.5	go
77.2690556710004	1.5	GO	LEFT	0.369017692999478	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	77.25	77.2691	1.5	go
79.5093793870001	1.5	GO	RIGHT	0.339599550999992	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	79.5	79.5094	1.5	go
84.3885511010012	1.5	GO	RIGHT	0.380257142000119	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	84.375	84.3886	1.5	go
87.1434373030006	1.5	GO	RIGHT	0.389832086000752	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	87.125	87.1434	1.5	go
91.7571786480003	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.252859877000446	1	250	1	91.75	91.7572	1.5	succ_stop
94.2630867070002	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.152392871999837	2	150	1	94.25	94.2631	1.5	succ_stop
97.5158552339999	1.5	GO	LEFT	0.372607589999461	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	97.5	97.5159	1.5	go
99.5074263570004	1.5	GO	LEFT	0.338995681000597	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	99.5	99.5074	1.5	go
101.764373026001	1.5	GO	LEFT	0.33730313399974	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	101.75	101.7644	1.5	go
104.884345097	1.5	GO	RIGHT	0.395519255000181	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	104.875	104.8843	1.5	go
108.020879823001	1.5	GO	RIGHT	0.400962157998947	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	108	108.0209	1.5	go
110.892131001001	1.5	GO	RIGHT	0.362971899001423	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	110.875	110.8921	1.5	go
114.393728636001	1.5	GO	RIGHT	0.356026875999305	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	114.375	114.3937	1.5	go
116.634207413001	1.5	GO	LEFT	0.421726622000278	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	116.625	116.6342	1.5	go
119.256391494	1.5	GO	RIGHT	0.357127416998992	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	119.25	119.2564	1.5	go
122.509035614001	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.203417851000268	2	200	1	122.5	122.509	1.5	succ_stop
124.882403303001	1.5	GO	LEFT	0.364239529999395	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	124.875	124.8824	1.5	go
127.886006473	1.5	STOP	RIGHT	0.352496716999667	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.303353979999883	1	300	-1	127.875	127.886	1.5	unsucc_stop
130.010419506001	1.5	GO	LEFT	0.326713604999895	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	130	130.0104	1.5	go
132.018477694	1.5	GO	RIGHT	0.362896946999172	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	132	132.0185	1.5	go
136.134278686	1.5	GO	RIGHT	0.417383318999782	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	136.125	136.1343	1.5	go
138.507493851001	1.5	STOP	LEFT	0.322614538999915	LEFT	5	CorrectResponse	UnsuccessfulStop	0.25236263700026	2	250	-1	138.5	138.5075	1.5	unsucc_stop
141.644097816001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.253187494001395	1	250	1	141.625	141.6441	1.5	succ_stop
145.510946466	1.5	GO	LEFT	0.3375473219985	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	145.5	145.5109	1.5	go
147.519034814	1.5	GO	LEFT	0.367002812999999	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	147.5	147.519	1.5	go
149.759424687001	1.5	GO	RIGHT	0.313029688000825	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	149.75	149.7594	1.5	go
151.883758988	1.5	GO	RIGHT	0.372822983001242	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	151.875	151.8838	1.5	go
154.771389488	1.5	GO	LEFT	0.338935547999426	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	154.75	154.7714	1.5	go
157.642498734001	1.5	GO	RIGHT	0.331156443999134	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	157.625	157.6425	1.5	go
159.766712152001	1.5	GO	LEFT	0.374546499999269	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	159.75	159.7667	1.5	go
161.758177428001	1.5	GO	LEFT	0.441510381000626	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	161.75	161.7582	1.5	go
