onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_orig	duration_orig	trial_type_orig
138.758729485	1.5	GO	RIGHT	0.688614985998356	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	138.75	138.7587	1.5	go
141.513718053999	1.5	GO	LEFT	0.607530172001134	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	141.5	141.5137	1.5	go
143.770662351	1.5	GO	LEFT	0.621050437999656	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	143.75	143.7707	1.5	go
146.508862197999	1.5	GO	LEFT	0.355124656000044	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	146.5	146.5089	1.5	go
148.633302468999	1.5	GO	RIGHT	0.351538623999659	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	148.625	148.6333	1.5	go
151.769829027	1.5	GO	RIGHT	0.360546304000309	LEFT	5	IncorrectResponse	JUNK	0	0	0	0	151.75	151.7698	1.5	junk
154.64097083	1.5	STOP	RIGHT	0.367823706001218	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.152794944000561	2	150	-1	154.625	154.641	1.5	unsucc_stop
158.889360035	1.5	GO	RIGHT	0.43182736900053	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	158.875	158.8894	1.5	go
161.760502514	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.102411681000376	2	100	1	161.75	161.7605	1.5	succ_stop
164.631534437	1.5	GO	LEFT	0.513488952999978	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	164.625	164.6315	1.5	go
167.519305878999	1.5	GO	RIGHT	0.321646932001386	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	167.5	167.5193	1.5	go
169.643613074999	1.5	GO	LEFT	0.432001172001037	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	169.625	169.6436	1.5	go
171.634986595	1.5	GO	RIGHT	0.475923122001404	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	171.625	171.635	1.5	go
175.136711596999	1.5	STOP	RIGHT	0.392122428000221	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.00518069800091325	1	0	0	175.125	175.1367	1.5	unsucc_stop
177.260909532	1.5	GO	LEFT	0.506462837000072	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	177.25	177.2609	1.5	go
181.144358893	1.5	GO	LEFT	0.418437533999167	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	181.125	181.1444	1.5	go
183.268763865999	1.5	GO	RIGHT	0.418941853000433	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	183.25	183.2688	1.5	go
185.392966292	1.5	STOP	RIGHT	0.35896774899993	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.153028462998918	2	150	-1	185.375	185.393	1.5	unsucc_stop
188.512957396	1.5	GO	LEFT	0.510700181001084	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	188.5	188.513	1.5	go
190.637110780999	1.5	STOP	LEFT	0.572509180999987	LEFT	5	CorrectResponse	UnsuccessfulStop	0.00530239299951063	1	0	0	190.625	190.6371	1.5	unsucc_stop
192.76135302	1.5	GO	LEFT	0.537365472999227	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	192.75	192.7614	1.5	go
195.632555225999	1.5	GO	RIGHT	0.498278413999287	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	195.625	195.6326	1.5	go
